Device,Time,Alert,Lat/Lng,Address,Driver(s),Speed (mph)
Ricardo (NEW),01/24/2025 03:54:45 PM,Engine Idle,"38.235004°, -122.644859°","212 Keokuk St, Petaluma, CA 94952, USA",N/A,0.0
Ricardo (NEW),02/03/2025 02:28:01 PM,Engine Idle,"38.222969°, -122.638084°","1112 G St, Petaluma, CA 94952, USA",N/A,0.0
Ricardo (NEW),02/04/2025 12:33:29 PM,Engine Idle,"38.315273°, -122.329162°","2603 Hidden Valley Ln, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),02/06/2025 09:29:17 AM,Engine Idle,"38.320980°, -122.297905°","3214 Main St, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),02/06/2025 11:28:31 AM,Engine Idle,"38.300857°, -122.238296°","1142 3rd Ave, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),02/06/2025 06:05:32 PM,After Hours,"38.277874°, -122.324943°","4135 Old Sonoma Rd, Napa, CA 94559, USA",N/A,45.6
Ricardo (NEW),02/06/2025 06:24:18 PM,After Hours,"38.260548°, -122.483574°","221 S Temelec Cir, Sonoma, CA 95476, USA",N/A,14.0
Ricardo (NEW),02/06/2025 06:42:54 PM,After Hours,"38.299820°, -122.670669°","100 Adobe Rd, Penngrove, CA 94951, USA",N/A,36.4
Ricardo (NEW),02/07/2025 11:07:24 AM,Engine Idle,"38.226406°, -122.638733°","15 Batchelor Ter, Petaluma, CA 94952, USA",N/A,0.0
Ricardo (NEW),02/07/2025 01:59:52 PM,Engine Idle,"38.231506°, -122.636596°","222 4th St, Petaluma, CA 94952, USA",N/A,0.0
Ricardo (NEW),02/10/2025 10:22:43 AM,Engine Idle,"38.273392°, -122.633247°","906 Mustang Ct, Petaluma, CA 94954, USA",N/A,0.0
Ricardo (NEW),02/10/2025 10:52:28 AM,Engine Idle,"38.268391°, -122.639282°","838 Chardonnay Cir, Petaluma, CA 94954, USA",N/A,0.0
Ricardo (NEW),02/10/2025 11:58:01 AM,Engine Idle,"38.231445°, -122.636215°","301 4th St, Petaluma, CA 94952, USA",N/A,0.0
Ricardo (NEW),02/10/2025 12:24:31 PM,Engine Idle,"38.227863°, -122.635132°","614 G St, Petaluma, CA 94952, USA",N/A,0.0
Ricardo (NEW),02/10/2025 01:17:13 PM,Engine Idle,"38.243179°, -122.629486°","209 Johnson Dr, Petaluma, CA 94952, USA",N/A,0.0
Ricardo (NEW),02/11/2025 07:42:34 AM,After Hours,"38.343609°, -122.718559°","80 Ronda St, Rohnert Park, CA 94928, USA",N/A,11.8
Ricardo (NEW),02/11/2025 09:05:09 AM,Engine Idle,"38.315342°, -122.287475°","748 Joseph Ct, Napa, CA 94558, USA",N/A,0.0
